Image,Timing (ns),Pinch Radius (mm),Left Instability Amplitude (mm),Right Instability Amplitude (mm),Avg Instability Amplitude (mm),Instability Amplitude std (mm),MRTI Instability (mm),MRTI Instability std (mm),Left Instability Amplitude IQR (mm),Right Instability Amplitude IQR (mm),Avg Instability Amplitude IQR (mm),Instability Amplitude std IQR (mm),Left Flaring Angle (deg),Right Flaring Angle (deg),Avg Flaring Angle (deg),Flaring Angle std (deg),Top Margin,Bottom Margin,Threshold (%),Point Mode,N,Pinch Height (mm),Total Points,Points in left boundary,Points in right boundary
07231_MCP1_3.png,,9.951488154599650,1.5007858478481300,1.6891268732828400,1.594956360565490,0.094170513,1.560680568142800,0.1051586758267390,1.75,2.25,2,0.25,5.090140758296150,3.702607468207160,4.396374113251650,0.6937666450444960,31,79,44,all,5,24,,178,312
07231_MCP1_4.png,,10.846794210026000,1.067109931411730,1.0124010482196500,1.0397554898156900,0.027354442,0.9721467767070730,0.030034479,1.6744186046511600,1.275747508305650,1.4750830564784100,0.1993355481727570,3.900480557384180,3.8729034650840900,3.8866920112341300,0.013788546,26,35,54,all,5,24,,209,217
07232_MCP1_1.png,,5.491743825394280,2.245019178186150,2.2528086772022500,2.2489139276942000,0.00389475,2.116284552711130,0.047162133,3.797468354,3.056962025316460,3.4272151898734200,0.370253165,7.112187244856550,9.229011247750230,8.170599246,1.0584120014468400,26,53,40,all,5,24,,474,336
07232_MCP1_2.png,,4.2043959313964200,1.5631009360800800,1.8910619416664300,1.727081438873250,0.1639805027931720,1.6949543480784800,0.1373718861119110,2.237623762376240,2.1386138613861400,2.1881188118811900,0.04950495,1.6890431137312600,5.027889349737840,3.358466231734550,1.6694231180032900,26,53,50,all,5,24,,240,305
07232_MCP1_3.png,,5.551163541391550,1.4835106271951400,2.300778917764430,1.892144772479780,0.4086341452846440,1.5046186183914100,0.3340821252710070,1.973941368078180,3.048859935,2.511400651465800,0.5374592833876220,9.431099967259530,11.582598070605700,10.50684901893260,1.0757490516730800,22,26,36,all,5,24,,288,333
07232_MCP1_4.png,,2.705829397096600,1.0169320643783400,1.5556573911034500,1.286294727740900,0.2693626633625550,1.1574617921791900,0.2297519012538650,1.4551495016611300,2.132890365448510,1.7940199335548200,0.3388704318936880,4.670311804401630,6.434187895965180,5.552249850183410,0.8819380457817750,54,22,26,all,5,24,,216,294
07232_MCP2_3.jpg,,11.032179448812500,0.684687188,1.1020681599316600,0.8933776737615860,0.2086904861700750,0.8594715059833590,0.2020873928227000,1.0365168539325800,1.348314606741570,1.1924157303370800,0.1558988764044940,2.249678210936120,3.1621440310565700,2.7059111209963400,0.4562329100602240,66,84,41,all,5,24,,590,525
07232_MCP2_4.jpg,,9.439465480339920,0.8872091511909350,0.9847130458120890,0.935961099,0.048751947,0.9347046810345020,0.04860604,1.5882352941176500,1.6411764705882400,1.6147058823529400,0.026470588,0.4469685409071350,0.5840831235609010,0.515525832,0.068557291,66,84,34,all,5,24,,730,599
07233_MCP1_1.png,,8.769858632426000,1.6767940503667700,1.5506657632856600,1.613729906826220,0.063064144,1.5543808073788800,0.1221708638939880,2.4345047923322700,2.2044728434504800,2.319488817891370,0.1150159744408950,0.2921488702207130,6.760411610243040,3.5262802402318700,3.2341313700111600,22,35,53,all,5,24,,334,278
07233_MCP1_2.png,,5.751751613128880,1.7138074092316000,1.9200514214319100,1.8169294153317500,0.1031220061001540,1.7012981005995600,0.095194898,2.486842105263160,3,2.7434210526315800,0.256578947,5.4721268184796600,7.042314400205240,6.257220609342450,0.7850937908627880,18,22,54,all,5,24,,291,287
07233_MCP1_3.png,,3.1336846377704800,1.3860920885344200,1.2907448769357300,1.3384184827350800,0.047673606,1.285026540720360,0.004579546,2.099009900990100,1.900990099009900,2,0.099009901,5.512000530500850,0.6013008251474880,3.056650677824170,2.4553498526766800,31,40,51,all,5,24,,327,395
07233_MCP1_4.png,,2.843321944574710,1.3586479489310600,1.3039685103412500,1.3313082296361500,0.027339719,1.3105484454611900,0.038651009,2.196610169491530,2.0338983050847500,2.115254237288140,0.081355932,1.6273405792345900,2.972553149404720,2.299946864319660,0.6726062850850640,26,35,40,all,5,24,,253,216
07234_MCP1_1.jpg,,5.790316395014380,2.0329130006726000,2.5945377924076200,2.313725396540110,0.280812396,2.3045057306949900,0.2735177178099300,3.100671140939600,4.469798657718120,3.7852348993288600,0.6845637583892620,0.8554924571249250,3.0343950750371200,1.9449437660810200,1.089451308956100,53,53,37,all,5,24,,945,1134
07234_MCP1_2.jpg,,4.155591283550360,1.771269175749750,2.056980432166000,1.9141248039578800,0.1428556282081240,1.9044538995783700,0.1420919951791720,2.197183098591550,3.464788732394370,2.830985915492960,0.6338028169014090,2.0196114661227300,2.4982531711826400,2.2589323186526800,0.2393208525299550,88,35,49,all,5,24,,795,750
07234_MCP1_3.jpg,,2.6174529384679000,1.3295091253908700,1.290472866402560,1.3099909958967100,0.019518129,1.2490130417725700,0.073230524,1.9014084507042300,2.0704225352112700,1.9859154929577500,0.084507042,1.7546107306779900,6.648486073370610,4.201548402024300,2.446937671346310,119,15,31,all,5,24,,659,632
