Image,Timing (µs),Pinch Radius (mm),Instability (mm),Left Angle (deg),Right Angle (deg),Avg Angle (deg),Top Margin,Bottom Margin,Threshold (%),Point Mode,N,Pinch Height (mm)
2614_SCH_1.jpg,85.7,3.094626033025487,0.9465319160308624,6.528606081828266,7.351471906775987,6.940038994302126,62,15,31.0,outer,4,13.5
2615_SCH_1.jpg,47.5,5.780721835116366,1.2721101436155906,20.070183199667618,17.597603224582016,18.833893212124817,62,57,31.0,outer,4,13.5
2615_SCH_2.jpg,77.5,2.6245471164389884,1.1370732242795323,12.282801070295019,16.42586769771454,14.35433438400478,62,57,44.0,outer,4,13.5
2659_SCH_1.jpg,51.9,3.108858129137075,0.46077388210786324,7.682375829814217,2.9786867746970835,5.33053130225565,62,57,40.0,outer,2,13.5
2659_SCH_2.jpg,81.9,2.2329877598608032,0.9815027041775181,13.796101828779408,7.710299950688775,10.753200889734092,62,57,50.0,outer,2,13.5
2661_SCH_1.jpg,67.6,2.96245995447036,0.9409869275406625,13.653072288065667,12.500631581102336,13.076851934584003,62,57,40.0,outer,2,13.5
2661_SCH_2.jpg,97.6,3.621817749920991,1.0830407561385216,15.870805496685945,11.764359748959643,13.817582622822794,62,57,40.0,outer,2,13.5
